fixture,reference,coin flip,team ratings,no shrinkage,last season only,raw head-to-head
10000,0.569,0.5,0.5004822673669704,0.6477,0.6122000000000001,0.6838000000000001
10001,0.47187500000000004,0.5,0.6459647964010633,0.5049,0.6117000000000001,0.3731
10002,0.57875,0.5,0.6493127348195353,0.6636,0.5785,0.46659999999999996
10003,0.7046875,0.5,0.4836988656354733,0.798,0.7271000000000001,0.7401
10004,0.588125,0.5,0.6933328087620348,0.5819000000000001,0.493,0.6824
10005,0.45581249999999995,0.5,0.5166823722778475,0.4739,0.42979999999999996,0.3398
10006,0.365,0.5,0.446993459671066,0.30400000000000005,0.46090000000000003,0.6287
10007,0.532125,0.5,0.46682044534977796,0.5562,0.5426,0.467
10008,0.43687499999999996,0.5,0.321461442544782,0.4123,0.5008,0.2273
10009,0.482375,0.5,0.4175981780703649,0.4727,0.5074,0.3947
10010,0.5818749999999999,0.5,0.4341460368632663,0.651,0.4983,0.6043000000000001
10011,0.559625,0.5,0.4341460368632664,0.5507,0.5081,0.4878
10012,0.494375,0.5,0.759557940211723,0.5043000000000001,0.5375,0.4715
10013,0.5925625,0.5,0.759557940211723,0.5839000000000001,0.5141,0.7785
10014,0.3481875,0.5,0.3983000526160709,0.25960000000000005,0.4232000000000001,0.4312
10015,0.594875,0.5,0.6612869438427446,0.6218,0.6729,0.5777000000000001
10016,0.5351875,0.5,0.6760843523053728,0.5281,0.5561,0.5981
10017,0.463,0.5,0.6309064145323309,0.39599999999999996,0.5250999999999999,0.3371
10018,0.5306875,0.5,0.46682044534977796,0.5327999999999999,0.44799999999999995,0.39480000000000004
10019,0.47450000000000003,0.5,0.583325375551041,0.43390000000000006,0.519,0.6509
10020,0.476125,0.5,0.4305454607829848,0.48930000000000007,0.6355,0.5529
10021,0.6571875,0.5,0.6304602812110609,0.7261,0.7666,0.6541
10022,0.5885,0.5,0.5335595078461595,0.6406000000000001,0.5441,0.5445
10023,0.509625,0.5,0.5004673685049296,0.4628,0.5115000000000001,0.5894
