fixture,reference,coin flip,team ratings,no shrinkage,last season only,raw head-to-head
10000,0.47525,0.5,0.4448055654722324,0.4467,0.42679999999999996,0.547
10001,0.5045625,0.5,0.33406160332976575,0.48139999999999994,0.4934,0.4475
10002,0.5325624999999999,0.5,0.5098910626685428,0.5536,0.5057,0.49049999999999994
10003,0.570625,0.5,0.5915450650960071,0.6778,0.5687,0.4526
10004,0.513375,0.5,0.591545065096007,0.5205,0.4632,0.34650000000000003
10005,0.60325,0.5,0.5431451431025816,0.6471,0.5297,0.47259999999999996
10006,0.44699999999999995,0.5,0.4769580812033092,0.3933,0.40190000000000003,0.355
10007,0.48018750000000004,0.5,0.4116935668330909,0.4333,0.5162,0.7082999999999999
10008,0.5231875,0.5,0.5267815097105624,0.48319999999999996,0.4985,0.5399
10009,0.48600000000000004,0.5,0.5433080857125752,0.4541,0.502,0.5542
10010,0.634125,0.5,0.6537581868340897,0.6631,0.6416999999999999,0.7852000000000001
10011,0.5370625,0.5,0.44381962336503605,0.5492,0.5093000000000001,0.41459999999999997
10012,0.4504375,0.5,0.5267815097105624,0.3952,0.5044,0.2385
10013,0.5086875,0.5,0.5103601382850832,0.5287,0.4437,0.59
10014,0.404,0.5,0.46110400919809413,0.3292,0.4699,0.4403
10015,0.4088125,0.5,0.5431451431025817,0.31679999999999997,0.4525,0.18259999999999998
10016,0.554375,0.5,0.46110400919809413,0.6111,0.5206999999999999,0.5745
10017,0.5751875,0.5,0.5920562887158586,0.5469,0.5266,0.4657
10018,0.463875,0.5,0.46011188004872355,0.41769999999999996,0.5478000000000001,0.5746
10019,0.6301874999999999,0.5,0.576077203801336,0.6562,0.5804,0.6257
10020,0.4115,0.5,0.4116935668330909,0.371,0.3711,0.3178
10021,0.4576875,0.5,0.5267815097105624,0.46349999999999997,0.43389999999999995,0.6527000000000001
10022,0.523625,0.5,0.5915450650960071,0.5842,0.5724,0.6200000000000001
10023,0.5300625,0.5,0.5103601382850832,0.502,0.5542,0.49249999999999994
