fixture,reference,coin flip,team ratings,no shrinkage,last season only,raw head-to-head
10000,0.6204375,0.5,0.527161803328075,0.6584000000000001,0.5976,0.6853
10001,0.6098125000000001,0.5,0.5599045140917978,0.6463,0.6496999999999999,0.6003000000000001
10002,0.449125,0.5,0.5760363740258561,0.4144,0.5056,0.6235999999999999
10003,0.47762499999999997,0.5,0.5599045140917978,0.471,0.4393,0.6821999999999999
10004,0.5326249999999999,0.5,0.5599045140917978,0.5667,0.3721,0.46619999999999995
10005,0.5470625,0.5,0.5599045140917978,0.5216000000000001,0.5829,0.5793999999999999
10006,0.55725,0.5,0.6080987791341574,0.6054999999999999,0.5962000000000001,0.4066
10007,0.5094375,0.5,0.5760363740258561,0.5499,0.4359,0.30899999999999994
10008,0.578625,0.5,0.5436451226802769,0.6021000000000001,0.5489999999999999,0.2701
10009,0.5991875,0.5,0.49411722985463075,0.6629,0.5831999999999999,0.5551
10010,0.6040625,0.5,0.49431443305221523,0.6285000000000001,0.6348,0.6221
10011,0.60625,0.5,0.5760363740258561,0.6257,0.5865,0.41669999999999996
10012,0.439875,0.5,0.5599045140917978,0.4142,0.3872,0.4635
10013,0.4911875,0.5,0.6080987791341574,0.4255,0.48379999999999995,0.3577
10014,0.6128750000000001,0.5,0.5599045140917978,0.6012,0.5688,0.53
10015,0.59825,0.5,0.510552621938961,0.6727000000000001,0.5785,0.28380000000000005
10016,0.4585,0.5,0.5436451226802769,0.4433999999999999,0.4686,0.5634
10017,0.41981250000000003,0.5,0.4776946222549103,0.3651,0.3989,0.31179999999999997
10018,0.5264375,0.5,0.5105538246439129,0.5497,0.5463,0.6054999999999999
10019,0.6299375,0.5,0.5599045140917978,0.6919,0.6668000000000001,0.5328999999999999
10020,0.5448124999999999,0.5,0.5105538246439129,0.6371,0.5325,0.6912
10021,0.40231249999999996,0.5,0.6688183105103417,0.3558,0.3156,0.5549
10022,0.48543749999999997,0.5,0.5599045140917978,0.4722,0.5145,0.4599
10023,0.5971875,0.5,0.49411722985463064,0.6339999999999999,0.6151,0.4996
