fixture,p_home
10000,0.5370750427246094
10001,0.6181068420410156
10002,0.6205329895019531
10003,0.5362396240234375
10004,0.4867706298828125
10005,0.6197547912597656
10006,0.5643653869628906
10007,0.5068397521972656
10008,0.4954376220703125
10009,0.5433540344238281
10010,0.5111274719238281
10011,0.5184478759765625
10012,0.5128059387207031
10013,0.5273895263671875
10014,0.5943222045898438
10015,0.5750007629394531
10016,0.5968513488769531
10017,0.6194267272949219
10018,0.49510955810546875
10019,0.5021018981933594
10020,0.52117919921875
10021,0.4995002746582031
10022,0.5709800720214844
10023,0.39678192138671875
