fixture,reference,coin flip,team ratings,no shrinkage,last season only,raw head-to-head
10000,0.46468750000000003,0.5,0.5837598878233561,0.42969999999999997,0.4548,0.5632999999999999
10001,0.5405625000000001,0.5,0.5335532705878452,0.5885,0.5929,0.5425
10002,0.5743750000000001,0.5,0.5668674939976375,0.6736,0.622,0.5925
10003,0.45175,0.5,0.7050735116586947,0.3953,0.38880000000000003,0.30550000000000005
10004,0.429,0.5,0.6459088862386363,0.353,0.3598,0.2996
10005,0.3681875,0.5,0.5987226636736753,0.31910000000000005,0.3083,0.23650000000000002
10006,0.4861875,0.5,0.691025195976498,0.43699999999999994,0.4182,0.37929999999999997
10007,0.49750000000000005,0.5,0.4005229050100071,0.5429999999999999,0.6319999999999999,0.36939999999999995
10008,0.47193750000000007,0.5,0.5995817659257457,0.5097,0.5234,0.6076999999999999
10009,0.5098125,0.5,0.6757117815091228,0.4692,0.43489999999999995,0.44649999999999995
10010,0.524875,0.5,0.6760619411650227,0.5567,0.5208,0.7235
10011,0.6225625,0.5,0.516530118284216,0.7041999999999999,0.5913,0.7906
10012,0.5491250000000001,0.5,0.46675989001236534,0.6104,0.5786,0.6093
10013,0.6116874999999999,0.5,0.5992050081226283,0.6507000000000001,0.5266000000000001,0.6868
10014,0.45068749999999996,0.5,0.6463546084342595,0.39849999999999997,0.4205,0.2367
10015,0.41693749999999996,0.5,0.582609194629197,0.36669999999999997,0.3392,0.246
10016,0.562125,0.5,0.48219053455209326,0.6677,0.5559000000000001,0.5521
10017,0.4553125,0.5,0.5334886604912447,0.4263,0.40890000000000004,0.2821
10018,0.405875,0.5,0.533486373508314,0.3494,0.3669,0.406
10019,0.541125,0.5,0.5827016883378171,0.5491,0.5613,0.6046
10020,0.420625,0.5,0.3846289788434871,0.4134,0.41040000000000004,0.48660000000000003
10021,0.52725,0.5,0.6301416361336796,0.5726,0.40979999999999994,0.4174
10022,0.6029375,0.5,0.4498136016992155,0.6514,0.5666,0.7954000000000001
10023,0.4868125,0.5,0.4655704263178322,0.4775,0.4637,0.3457
