fixture,reference,coin flip,team ratings,no shrinkage,last season only,raw head-to-head
10000,0.4090625,0.5,0.3454793137253959,0.3892,0.4438,0.19330000000000003
10001,0.515125,0.5,0.6369826043539704,0.4987,0.5143,0.32680000000000003
10002,0.565,0.5,0.6369826043539704,0.5639000000000001,0.5947,0.6236999999999999
10003,0.5614375,0.5,0.6370232334712792,0.6072,0.4997,0.3749
10004,0.4464375,0.5,0.37745402352157964,0.43470000000000003,0.4355,0.47019999999999995
10005,0.34762499999999996,0.5,0.4410357363496461,0.21040000000000003,0.3584,0.3643
10006,0.43031250000000004,0.5,0.42584294595850763,0.38589999999999997,0.33909999999999996,0.4831
10007,0.5444374999999999,0.5,0.574126353884226,0.5996,0.5216000000000001,0.48429999999999995
10008,0.4505,0.5,0.5741263538842258,0.4103,0.5231,0.45999999999999996
10009,0.5249999999999999,0.5,0.30176455192948115,0.5066,0.5607,0.5272999999999999
10010,0.5814375,0.5,0.4748163405319542,0.6154,0.6289,0.6838
10011,0.576875,0.5,0.45745936863698355,0.6557,0.6244000000000001,0.6052
10012,0.4683125,0.5,0.4088877371289484,0.4507,0.4808,0.3691
10013,0.598,0.5,0.6060374455335084,0.654,0.5663,0.7086
10014,0.6145,0.5,0.5741693149872317,0.7026,0.5563,0.7006
10015,0.5076875,0.5,0.573108758300994,0.4309,0.5193,0.3569
10016,0.5089375,0.5,0.4421050032798061,0.5181,0.5524,0.7027
10017,0.5776875,0.5,0.7111204812141494,0.6804,0.5447,0.6803
10018,0.5205,0.5,0.4578558774495915,0.4949,0.491,0.4798
10019,0.6896875,0.5,0.573108758300994,0.7670999999999999,0.6617000000000001,0.7277
10020,0.742,0.5,0.6683857986143288,0.8505,0.6755,0.8069999999999999
10021,0.509,0.5,0.37585271259347136,0.5269999999999999,0.536,0.4224
10022,0.5527500000000001,0.5,0.5569892354996984,0.5893999999999999,0.5689,0.5357000000000001
10023,0.622125,0.5,0.573108758300994,0.6717,0.5774,0.6036
