fixture,p_home
10000,0.4011475000000001
10001,0.5077975
10002,0.5729374999999999
10003,0.5265274999999999
10004,0.4021125
10005,0.27883749999999996
10006,0.37007249999999997
10007,0.629065
10008,0.5985025
10009,0.5469375
10010,0.4952225
10011,0.5526099999999999
10012,0.41475999999999996
10013,0.59809
10014,0.5557525
10015,0.37981750000000003
10016,0.555695
10017,0.6287649999999999
10018,0.48302000000000006
10019,0.6224824999999999
10020,0.6291249999999999
10021,0.4926125
10022,0.59642
10023,0.5179825
